"","PathogenName","Pathogen_Harmonised","UNsubregion","CountryISO_EID2Wertheim"
"149","marituba","marituba",NA,NA
"150","mayaro","mayaro",NA,NA
"151","measles","measles",NA,NA
"152","menangle","menangle","Australia and New Zealand","AU"
"153","modoc","modoc",NA,NA
"154","mokola","mokola","Northern Africa, Eastern Africa, Middle Africa, Southern Africa, Western Africa","SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,CD,CG,GA,GQ,CM,CF,SS,SD,TD,ZA"
"155","molluscum contagiosum","molluscum contagiosum",NA,NA
"156","monkeypox","monkeypox","Northern Africa, Eastern Africa, Middle Africa, Western Africa","SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SS,SD,TD"
"157","mumps","mumps",NA,NA
"158","murray valley encephalitis","murray valley encephalitis","Australia and New Zealand, Melanesia","AU,PG"
"159","nipah","nipah","South-eastern Asia, Southern Asia","IN,BD,MY"
"160","norwalk","norwalk",NA,NA
"161","omsk hemorrhagic fever, omsk","omsk",NA,NA
"162","orf","orf","South America",NA
"163","oriboca","oriboca",NA,NA
"164","oropouche","oropouche","Caribbean, Central America, South America","PA,PE,BR,TT"
"165","orungo","orungo",NA,NA
"166","canine parainfluenza","canine parainfluenza",NA,NA
"167","pixuna","pixuna",NA,NA
"168","powassan","powassan",NA,NA
"169","primate t-lymphotropic virus 1","primate t-lymphotropic virus 1","Northern Africa, Eastern Africa, Middle Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Polynesia","CF,CN,ES,AR,GA,IN,CA,PT,CL,GQ,VU,RU,GP,SR,ZA,US,BR,GY,SE,CI,IR,BO,DE,JP,JM,PE,MZ,CO,MQ,CM,GF,EG,NG,ID,GW,TW,GB,FR,SB,TT,CD,MV,HT,PF,AU,PA"
"170","primate t-lymphotropic virus 2","primate t-lymphotropic virus 2","Middle Africa, Western Africa, Central America, South America, Northern America, Northern Europe, Southern Europe","ES,AR,VE,US,IE,IT,BR,CM,GF,PT,PA,MX,GB,NG"
"171","primate t-lymphotropic virus 3","primate t-lymphotropic virus 3","Eastern Africa, Middle Africa","CM,ET"
